Time,Profle,PWM,bus1dev1,bus1dev0,PlateAverage,error
18.46858,40.34201074074074,8.722979369993164e-05,21.5,22.0,21.75,18.59201074074074
18.878733,40.34960616666667,9.053958811332531e-05,21.5,22.25,21.875,18.474606166666668
19.284621,40.35712261111111,9.448876771699907e-05,21.5,22.25,21.875,18.48212261111111
19.694443,40.364711907407404,9.921226962781453e-05,21.5,22.0,21.75,18.614711907407404
20.401632,40.377808,0.0001026081150108044,21.5,22.25,21.875,18.502808
20.809885,40.38536824074074,0.00011019131907762352,21.5,22.25,21.875,18.51036824074074
21.218193,40.3929295,0.0001145916178839899,21.5,22.25,21.875,18.5179295
21.628112,40.40052059259259,0.00011911404776505668,21.5,22.25,21.875,18.525520592592592
22.033583,40.40802931481481,0.0001236956742143276,21.5,22.25,21.875,18.53302931481481
22.434562,40.415454851851855,0.00012829065888949817,21.5,22.25,21.875,18.540454851851855
22.842899,40.42301664814815,0.00013303630744352973,21.5,22.25,21.875,18.54801664814815
23.250232,40.430559851851854,0.00013787121567685647,21.5,22.25,21.875,18.555559851851854
23.6606,40.43815925925926,0.0001428537373849824,21.5,22.25,21.875,18.56315925925926
24.067321,40.44569112962963,0.00014789963217602754,21.5,22.25,21.875,18.57069112962963
24.478387,40.453303462962964,0.00015409522832635374,21.5,22.0,21.75,18.703303462962964
24.885655,40.460845462962965,0.00015827917746615586,21.5,22.25,21.875,18.585845462962965
25.292572,40.46838096296296,0.00016358042584861335,21.5,22.25,21.875,18.59338096296296
25.700392,40.475933185185184,0.00016899183615677317,21.5,22.25,21.875,18.600933185185184
26.416329,40.48919127777778,0.0001744123741111502,21.5,22.25,21.875,18.614191277777778
26.816562,40.496603,0.00018426056171742662,21.5,22.25,21.875,18.621603
27.224773,40.50416246296296,0.0001900049614469576,21.5,22.25,21.875,18.62916246296296
27.632787,40.511718277777774,0.00019706893621700974,21.5,22.0,21.75,18.761718277777774
28.040987,40.519277537037034,0.00020185781383016735,21.5,22.25,21.875,18.644277537037034
28.44939,40.52684055555556,0.0002093300927162108,21.5,22.0,21.75,18.77684055555556
28.859197,40.534429574074075,0.00021408775004499482,21.5,22.25,21.875,18.659429574074075
29.267626,40.54199307407407,0.0002204361845876759,21.5,22.25,21.875,18.66699307407407
29.674452,40.54952688888889,0.00022663940802925575,21.5,22.25,21.875,18.67452688888889
30.0847,40.557124074074075,0.00023311842942766125,21.5,22.25,21.875,18.682124074074075
30.493606,40.56469640740741,0.0002396422048386988,21.5,22.25,21.875,18.68969640740741
30.902505,40.57226861111111,0.0002463659004926508,21.5,22.25,21.875,18.697268611111113
31.313539,40.57988035185185,0.00025468735226021196,21.5,22.0,21.75,18.82988035185185
31.722621,40.58745594444444,0.00025983554798891584,21.5,22.25,21.875,18.712455944444443
32.441909,40.60077609259259,0.00026669930788172767,21.5,22.25,21.875,18.72577609259259
32.85118,40.60835518518518,0.00027914383797596583,21.5,22.25,21.875,18.733355185185182
33.258788,40.61590348148148,0.000286293962448884,21.5,22.25,21.875,18.74090348148148
33.666755,40.623458425925925,0.0002935707548611381,21.5,22.25,21.875,18.748458425925925
34.07436,40.631006666666664,0.0003009473617216807,21.5,22.25,21.875,18.756006666666664
34.484386,40.63859974074074,0.0003084416967097596,21.5,22.25,21.875,18.763599740740737
34.894226,40.64618937037037,0.000318115524548529,21.5,22.0,21.75,18.896189370370372
35.301849,40.653737944444444,0.0003236509920725639,21.5,22.25,21.875,18.778737944444444
35.711195,40.66131842592593,0.00033144377865243567,21.5,22.25,21.875,18.786318425925927
36.117487,40.66884235185185,0.0003392823339924866,21.5,22.25,21.875,18.79384235185185
36.521877,40.67633105555556,0.0003471620092446644,21.5,22.25,21.875,18.801331055555558
36.929583,40.683881166666666,0.00035518278268584073,21.5,22.25,21.875,18.808881166666666
37.337978,40.69144403703704,0.0003657402109394999,21.5,22.0,21.75,18.941444037037037
37.747474,40.69902729629629,0.00037162607917133784,21.5,22.25,21.875,18.824027296296293
38.46452,40.712305925925925,0.0003799083183246589,21.5,22.25,21.875,18.837305925925925
38.865194,40.719725814814815,0.00039474244577746167,21.5,22.25,21.875,18.844725814814815
39.268037,40.72718587037037,0.00040324993679673865,21.5,22.25,21.875,18.85218587037037
39.676152,40.73474355555555,0.00041200619384616316,21.5,22.25,21.875,18.859743555555553
40.078788,40.74219977777778,0.0004207580107132494,21.5,22.25,21.875,18.867199777777778
40.486965,40.74975861111111,0.0004296850634312845,21.5,22.25,21.875,18.874758611111112
40.896221,40.757337425925925,0.0004387105982333698,21.5,22.25,21.875,18.882337425925925
41.296268,40.7647457037037,0.00044765177545265714,21.5,22.25,21.875,18.889745703703703
