Time,Profle,PWM,bus1dev1,bus1dev0,PlateAverage,error
0.014743,25.001228583333333,0.0,21.75,22.25,22.0,3.001228583333333
0.422452,25.035204333333333,9.591657244700421e-06,21.75,22.25,22.0,3.0352043333333327
0.830703,25.06922525,1.950331351722761e-05,21.75,22.25,22.0,3.069225249999999
1.239446,25.103287166666668,2.9892863477390183e-05,21.75,22.25,22.0,3.103287166666668
1.647147,25.13726225,4.0745168820751294e-05,21.75,22.25,22.0,3.137262249999999
2.331433,25.194286083333335,5.1245671986839825e-05,21.75,22.25,22.0,3.194286083333335
2.739694,25.228307833333332,7.428223999330194e-05,21.5,22.25,21.875,3.353307833333332
3.148309,25.262359083333333,8.39153952446408e-05,21.75,22.25,22.0,3.262359083333333
3.558803,25.296566916666666,0.00010037417404366223,21.5,22.25,21.875,3.4215669166666665
3.966732,25.330561,0.00011010251421940101,21.75,22.25,22.0,3.3305609999999994
4.376763,25.36473025,0.0001238115210324796,21.75,22.25,22.0,3.364730250000001
4.786467,25.39887225,0.00013793512552147093,21.75,22.25,22.0,3.39887225
5.19444,25.43287,0.00015255917936075447,21.75,22.25,22.0,3.432870000000001
5.603691,25.46697425,0.0001677765484529703,21.75,22.25,22.0,3.46697425
6.013635,25.50113625,0.00018342988548071212,21.75,22.25,22.0,3.5011362499999983
6.424363,25.535363583333332,0.00020574772256189188,21.5,22.25,21.875,3.660363583333332
6.830427,25.56920225,0.00021610894266233977,21.75,22.25,22.0,3.56920225
7.236792,25.603066,0.0002401611022958751,21.5,22.25,21.875,3.7280659999999983
7.647143,25.637261916666667,0.00025074961108409027,21.75,22.25,22.0,3.6372619166666667
8.354936,25.696244666666665,0.00027040447573986837,21.75,22.25,22.0,3.696244666666665
8.764346,25.730362166666666,0.00031065626228330096,21.75,22.0,21.875,3.8553621666666658
9.173333,25.764444416666667,0.0003209650838518533,21.75,22.25,22.0,3.7644444166666666
9.579539,25.798294916666666,0.00036175223617189597,21.5,22.0,21.75,4.048294916666666
