Time,Profile,PWM,bus1dev1,bus1dev0,bus0dev0,PlateAverage,error,kp,ki,kd
0.011609,0.0,-0.0,25.75,26.5,26.5,26.25,-0.0525,0.0,0.0,0.0
1.512024,0.0,0.0,25.75,26.5,26.75,26.333333333333332,-6.571000000000004,3.3861335642716055e-07,2.6519717129861708e-12,-5.255460403000322e-11
3.021691,0.0,0.0,25.75,26.5,26.75,26.333333333333332,-13.14066666666666,1.3585509167006123e-06,2.1445023066032976e-11,-2.10854368637868e-10
4.532388,0.0,0.0,25.75,26.5,26.5,26.25,-19.695333333333334,3.055960028388025e-06,7.255352914305656e-11,-4.743013415597403e-10
6.037226,0.0,0.0,25.75,26.25,26.5,26.166666666666668,-26.090166666666665,5.415740045467511e-06,1.7130882780134957e-10,-8.405518217654786e-10
7.53952,0.0,0.0,25.75,26.5,26.5,26.25,-26.22616666666665,8.41797948017899e-06,3.3131405082099213e-10,-1.3065154398558341e-09
9.049978,0.0,0.0,25.75,26.25,26.5,26.166666666666668,-26.195333333333295,1.2081452411324991e-05,5.687642363019105e-10,-1.8751060332762755e-09
10.556386,55.63859999999998,0.0,25.5,26.25,26.5,26.083333333333332,-23.63204866666664,1.4634108905580028e-05,7.544556966910522e-10,-2.2712919743616864e-09
12.06349,100.0,0.0,25.5,26.25,26.75,26.166666666666668,-1.5009273333333104,5.588161244330077e-06,0.0,-8.6731251404362e-10
13.57057,100.0,1.057366027933612e-05,25.5,26.25,26.5,26.083333333333332,22.119572666666652,4.780758080208409e-07,0.0,-7.419992244846968e-11
15.071198,100.0,3.1073886030602436e-05,25.5,26.25,26.5,26.083333333333332,46.54290600000004,6.676761361397689e-07,0.0,-1.0362690747161442e-10
16.574823,100.0,0.00040866936125217673,25.75,26.0,26.5,26.083333333333332,69.76055413333344,5.858328178447474e-06,0.0,-9.092438672377347e-10
18.085009,100.0,0.001206174298609082,25.5,26.25,26.5,26.083333333333332,73.93616666666668,1.6313725108944183e-05,0.0,-2.53197739274473e-09
19.588585,100.0,0.0023619125306463527,25.5,26.25,26.5,26.083333333333332,73.94616666666678,3.194097235884224e-05,0.0,-4.957409750059461e-09
21.095889,100.0,0.0038900887440829032,25.5,26.0,26.25,25.916666666666668,73.9653333333334,5.2593408055465905e-05,0.0,-8.16277823210473e-09
22.600422,100.0,0.005787172482262483,25.5,26.25,26.5,26.083333333333332,73.98283333333339,7.822265029344578e-05,1.0197269423652837e-10,-1.2140573708391004e-08
24.110409,100.0,0.008077742549526624,25.5,26.0,26.5,26.0,74.0026666666667,0.00010914933278641326,8.11232027491767e-10,-1.694056024622018e-08
25.619844,100.0,0.010762496391991356,25.5,26.0,26.25,25.916666666666668,74.01816666666659,0.00014538448445215485,2.3158071203705683e-09,-2.2564449592622175e-08
27.125035,100.0,0.013832357784428378,25.5,26.0,26.5,26.0,74.02333333333326,0.0001868189506301836,4.733194994948423e-09,-2.899530036046309e-08
28.632785,100.0,0.01730025000556135,25.5,26.0,26.5,26.0,74.02466666666662,0.00023361743098131838,8.19745158388989e-09,-3.625867481801711e-08
30.134404,100.0,0.021148097216538066,25.5,26.0,26.25,25.916666666666668,74.03066666666673,0.0002855040048272499,1.2809794550498851e-08,-4.4311748600217094e-08
31.64206,100.0,0.02539175186343006,25.5,26.0,26.5,26.0,74.03599999999996,0.00034271249384728057,1.868966895281318e-08,-5.3190812082313056e-08
33.143077,100.0,0.029994459901241704,25.5,26.0,26.5,26.0,74.03949999999993,0.0004047644863117472,2.5899716963124327e-08,-6.28216132050209e-08
34.644461,100.0,0.03498037332523279,25.5,26.0,26.5,26.0,74.04449999999996,0.00047195643847217116,3.4594816780125504e-08,-7.325016356420717e-08
36.155593,100.0,0.040388600970831925,25.5,26.0,26.25,25.916666666666668,74.0513333333332,0.0005448060471331794,4.498677255721623e-08,-8.455681247291094e-08
37.65567,100.0,0.04614123622440434,25.5,26.0,26.5,26.0,74.05566666666654,0.0006222913213646017,5.703629823638102e-08,-9.658294147253379e-08
39.160873,100.0,0.05230216198649664,25.5,26.0,26.25,25.916666666666668,74.06099999999991,0.000705245267113963,7.09922587694973e-08,-1.0945783754155957e-07
40.665706,100.0,0.05883793038820616,25.5,26.0,26.25,25.916666666666668,74.0579999999999,0.0007933106432778836,8.693076833273796e-08,-1.231260549499986e-07
42.177616,100.0,0.06578296893846514,25.5,26.25,26.5,26.083333333333332,74.04533333333326,0.0008869957866402608,1.0506834700796593e-07,-1.3766649028560952e-07
43.682548,100.0,0.07307538817386824,25.5,26.0,26.25,25.916666666666668,74.02683333333334,0.0009854535558635074,1.2538203621968536e-07,-1.5294766268176588e-07
45.187735,100.0,0.0807481945564279,25.5,26.25,26.5,26.083333333333332,74.0078333333333,0.001089076141812137,1.4802198922876117e-07,-1.690304422583179e-07
46.688642,100.0,0.08876727322295833,25.5,26.25,26.25,26.0,73.98666666666658,0.0011974352454635425,1.7302828649670995e-07,-1.8584835471615074e-07
48.199769,100.0,0.09722359824897667,25.5,26.25,26.5,26.083333333333332,73.96350000000007,0.0013117652962090095,2.0084295990022021e-07,-2.0359299009927944e-07
49.706642,100.0,0.10604214377253018,25.5,26.25,26.5,26.083333333333332,73.9463333333335,0.0014309140375430832,2.3129738102327659e-07,-2.2208551203508098e-07
51.212879,100.0,0.11521451837284306,25.5,26.25,26.5,26.083333333333332,73.92733333333358,0.0015549065362134274,2.644213952099904e-07,-2.4132981101686496e-07
52.713479,100.0,0.12466715373991731,25.5,26.5,26.5,26.166666666666668,73.8875000000001,0.0016831934700627378,3.0018900665527404e-07,-2.612406293077049e-07
54.216974,100.0,0.1344584182245147,25.75,26.75,26.75,26.416666666666668,73.83083333333335,0.0018165772836802865,3.3898813792750194e-07,-2.819425105998235e-07
55.717909,100.0,0.14454033646419823,25.75,27.0,26.75,26.5,73.75116666666688,0.0019546738333526556,3.808400401002834e-07,-3.0337583373426087e-07
57.225902,100.0,0.15499833356360482,25.75,27.0,27.0,26.583333333333332,73.65949999999972,0.0020984682884478975,4.2618159948622126e-07,-3.256935022662313e-07
58.736734,100.0,0.1658000197807168,26.0,27.0,27.0,26.666666666666668,73.56149999999992,0.002247439236209382,4.749942935817111e-07,-3.4881459014706793e-07
60.244214,100.0,0.1769337266926463,26.0,27.0,27.25,26.75,73.47016666666684,0.0024010628378562148,5.272192435906694e-07,-3.726577947961652e-07
61.746331,100.0,0.18835815747065138,26.0,27.25,27.25,26.833333333333332,73.38049999999959,0.002558927220244169,5.827711103472969e-07,-3.971591912985888e-07
63.255063,100.0,0.2001131672319092,26.0,27.5,27.25,26.916666666666668,73.27283333333351,0.0027223034168812,6.422651856217794e-07,-4.2251605085304155e-07
64.766771,100.0,0.21216647341329148,26.25,27.75,27.75,27.25,73.15233333333335,0.0028906907472320783,7.056569423408097e-07,-4.486506651625085e-07
66.278138,100.0,0.22443938403528657,26.5,28.0,27.75,27.416666666666668,73.00533333333335,0.0030636995025107765,7.729211587250225e-07,-4.7550254933899537e-07
67.789947,100.0,0.2369433160303243,26.5,28.0,27.75,27.416666666666668,72.83866666666674,0.0032413974237847343,8.442008210799777e-07,-5.030822171584901e-07
69.298078,100.0,0.24966722686212137,26.75,28.25,28.0,27.666666666666668,72.66350000000017,0.0034232834883430306,9.194008530321327e-07,-5.31311907216481e-07
70.804802,100.0,0.2626169264575296,26.75,28.75,28.5,28.0,72.48416666666652,0.003609316061537915,9.985745254819237e-07,-5.601851575929487e-07
72.316648,100.0,0.27582650290647753,27.0,29.0,28.5,28.166666666666668,72.29433333333321,0.003800356322265085,1.0822027843966153e-06,-5.898356278586195e-07
